Filename 	 swathNumber 	 targetMz 	 scansPerSwath 	 AvgMzRange 	 SwathProportionOfTotalTIC 	 swDensityAverage 	 swDensityIQR 	 swAvgProportionSinglyCharged 
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	9	612	2277	25	0.04080732	6047	1951	0.078764381
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	10	637	2277	25	0.042119977	6207	1981	0.078622623
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	11	662	2277	25	0.040730329	6329	2349	0.077918977
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	12	687	2277	25	0.041073592	6523	2199	0.076581965
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	13	712	2277	25	0.040578375	6525	2247	0.076342218
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	14	737	2277	25	0.040866713	6579	2608	0.075527371
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	15	762	2277	25	0.037542802	6563	2999	0.074621308
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	16	787	2277	25	0.039148111	6556	3056	0.073737552
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	17	812	2277	25	0.034011942	6474	3297	0.073183918
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	18	837	2277	25	0.034491547	6390	3680	0.0719319
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	19	862	2277	25	0.033141846	6394	3497	0.071088512
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	20	887	2277	25	0.033864445	6308	3764	0.070101026
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	21	912	2277	25	0.029521957	6264	4088	0.06961792
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	22	937	2277	25	0.028034886	6114	4468	0.068214298
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	23	962	2277	25	0.026591784	5943	4704	0.067327785
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	24	987	2277	25	0.022700383	5830	4799	0.067015863
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	25	1012	2277	25	0.020293278	5624	5085	0.065611046
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	26	1037	2277	25	0.020523528	5585	5097	0.06506113
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	27	1062	2277	25	0.017653665	5373	4780	0.064806922
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	28	1087	2277	25	0.017340955	5188	5038	0.06275438
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	29	1112	2277	25	0.016910922	5133	5001	0.062774101
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	30	1137	2277	25	0.015207796	4977	5141	0.061989383
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	31	1162	2277	25	0.016429813	5024	5286	0.061688488
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	32	1187	2277	25	0.013172733	4728	5111	0.060424437
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	1	412.5	2277	25	0.025719118	3249	5164	0.072804255
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	2	437	2277	25	0.029966299	3879	5042	0.075393425
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	3	462	2277	25	0.034492041	4326	4828	0.074646176
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	4	487	2277	25	0.036664296	4803	4249	0.076830846
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	5	512	2277	25	0.038273782	5064	3667	0.077240493
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	6	537	2277	25	0.039080198	5447	2811	0.078099208
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	7	562	2277	25	0.044972254	5809	2566	0.078788383
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	8	587	2277	25	0.046276225	6124	2159	0.079085163
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	9	612	2277	25	0.042240719	6297	2060	0.078416466
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	10	637	2277	25	0.043453115	6436	1949	0.078097319
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	11	662	2277	25	0.041157947	6566	2419	0.077392561
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	12	687	2277	25	0.041688896	6728	2463	0.076151296
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	13	712	2277	25	0.041584257	6747	2431	0.075686013
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	14	737	2277	25	0.041669459	6797	2809	0.074626912
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	15	762	2277	25	0.038626427	6779	3225	0.073555933
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	16	787	2277	25	0.040547075	6753	3318	0.072613643
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	17	812	2277	25	0.034983669	6670	3610	0.072039337
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	18	837	2277	25	0.034729529	6575	3950	0.071059627
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	19	862	2277	25	0.033645669	6581	3652	0.069958672
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	20	887	2277	25	0.033500043	6482	3941	0.069181746
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	21	912	2277	25	0.029399626	6420	4352	0.068829946
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	22	937	2277	25	0.027929506	6291	4764	0.067438308
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	23	962	2277	25	0.026221967	6100	5114	0.066462497
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	24	987	2277	25	0.022311685	5983	5189	0.066176985
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	25	1012	2277	25	0.01992288	5786	5352	0.064804393
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	26	1037	2277	25	0.019838043	5731	5287	0.064512319
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	27	1062	2277	25	0.016940565	5497	4987	0.064148527
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	28	1087	2277	25	0.016345803	5277	5205	0.062373178
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	29	1112	2277	25	0.015806147	5205	5061	0.062414916
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	30	1137	2277	25	0.014176256	5033	5265	0.061693476
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	31	1162	2277	25	0.015519529	5068	5390	0.061411865
olgas_K121026_004_SW_Wayne_R1_d20.wiff.scan	32	1187	2277	25	0.012316973	4756	5141	0.059627735
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	1	412.5	2277	25	0.026440542	3306	5139	0.072502276
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	2	437	2277	25	0.030586175	3932	5011	0.074999352
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	3	462	2277	25	0.034893506	4367	4762	0.074776477
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	4	487	2277	25	0.037339822	4841	4115	0.076843792
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	5	512	2277	25	0.038697544	5096	3639	0.077663087
olgas_K121026_005_SW_Wayne_R1_d20+6h.wiff.scan	6	537	2277	25	0.039451356	5473	2685	0.077993249
